Date,Close,signalEMA,signalSMA,signalARIMA,signalLSTM,vote_sum,final_signal,market_ret,ret_ema,ret_sma,ret_arima,ret_lstm,ret_ensemble,eq_market,eq_ema,eq_sma,eq_arima,eq_lstm,eq_ensemble
2018-10-16,2809.919921875,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-17,2809.2099609375,1,0,0.0,0.0,1.0,1.0,-0.00025266233815879335,-0.00025266233815879335,-0.0,-0.0,-0.0,-0.00025266233815879335,0.9997473376618412,0.9997473376618412,1.0,1.0,1.0,0.9997473376618412
2018-10-18,2768.780029296875,1,0,0.0,0.0,1.0,1.0,-0.014391922356395415,-0.014391922356395415,-0.0,-0.0,-0.0,-0.014391922356395415,0.9853590516021989,0.9853590516021989,1.0,1.0,1.0,0.9853590516021989
2018-10-19,2767.780029296875,1,0,0.0,0.0,1.0,1.0,-0.00036116989772350117,-0.00036116989772350117,-0.0,-0.0,-0.0,-0.00036116989772350117,0.9850031695743109,0.9850031695743109,1.0,1.0,1.0,0.9850031695743109
2018-10-22,2755.8798828125,1,0,0.0,0.0,1.0,1.0,-0.004299527548581317,-0.004299527548581317,-0.0,-0.0,-0.0,-0.004299527548581317,0.9807681213112862,0.9807681213112862,1.0,1.0,1.0,0.9807681213112862
2018-10-23,2740.68994140625,1,0,0.0,0.0,1.0,1.0,-0.005511829997012829,-0.005511829997012829,-0.0,-0.0,-0.0,-0.005511829997012829,0.9753622941601288,0.9753622941601288,1.0,1.0,1.0,0.9753622941601288
2018-10-24,2656.10009765625,1,0,0.0,0.0,1.0,1.0,-0.030864433977743855,-0.030864433977743855,-0.0,-0.0,-0.0,-0.030864433977743855,0.9452582890276426,0.9452582890276426,1.0,1.0,1.0,0.9452582890276426
2018-10-25,2705.570068359375,1,0,0.0,0.0,1.0,1.0,0.018625040052811848,0.018625040052811848,0.0,0.0,0.0,0.018625040052811848,0.9628637625210349,0.9628637625210349,1.0,1.0,1.0,0.9628637625210349
2018-10-26,2658.68994140625,1,0,0.0,0.0,1.0,1.0,-0.017327264039978307,-0.017327264039978307,-0.0,-0.0,-0.0,-0.017327264039978307,0.9461799678733059,0.9461799678733059,1.0,1.0,1.0,0.9461799678733059
2018-10-29,2641.25,1,0,0.0,0.0,1.0,1.0,-0.0065595995737004476,-0.0065595995737004476,-0.0,-0.0,-0.0,-0.0065595995737004476,0.9399734061594003,0.9399734061594003,1.0,1.0,1.0,0.9399734061594003
2018-10-30,2682.6298828125,1,0,0.0,0.0,1.0,1.0,0.015666780052058682,0.015666780052058682,0.0,0.0,0.0,0.015666780052058682,0.954699762768484,0.954699762768484,1.0,1.0,1.0,0.954699762768484
2018-10-31,2711.739990234375,1,0,0.0,0.0,1.0,1.0,0.010851331974038647,0.010851331974038647,0.0,0.0,0.0,0.010851331974038647,0.9650595268298208,0.9650595268298208,1.0,1.0,1.0,0.9650595268298208
2018-11-01,2740.3701171875,1,0,0.0,0.0,1.0,1.0,0.010557843693063784,0.010557843693063784,0.0,0.0,0.0,0.010557843693063784,0.9752484744685921,0.9752484744685921,1.0,1.0,1.0,0.9752484744685921
2018-11-02,2723.06005859375,1,0,0.0,0.0,1.0,1.0,-0.0063166863793988615,-0.0063166863793988615,-0.0,-0.0,-0.0,-0.0063166863793988615,0.9690881357133868,0.9690881357133868,1.0,1.0,1.0,0.9690881357133868
2018-11-05,2738.31005859375,1,0,0.0,0.0,1.0,1.0,0.005600317169601965,0.005600317169601965,0.0,0.0,0.0,0.005600317169601965,0.9745153366386801,0.9745153366386801,1.0,1.0,1.0,0.9745153366386801
2018-11-06,2755.449951171875,1,0,0.0,0.0,1.0,1.0,0.006259295774170726,0.006259295774170726,0.0,0.0,0.0,0.006259295774170726,0.9806151163671671,0.9806151163671671,1.0,1.0,1.0,0.9806151163671671
2018-11-07,2813.889892578125,1,0,0.0,0.0,1.0,1.0,0.021208856064105275,0.021208856064105275,0.0,0.0,0.0,0.021208856064105275,1.0014128412244843,1.0014128412244843,1.0,1.0,1.0,1.0014128412244843
2018-11-08,2806.830078125,1,0,0.0,0.0,1.0,1.0,-0.0025089163835961825,-0.0025089163835961825,-0.0,-0.0,-0.0,-0.0025089163835961825,0.9989003801403925,0.9989003801403925,1.0,1.0,1.0,0.9989003801403925
2018-11-09,2781.010009765625,1,0,0.0,0.0,1.0,1.0,-0.00919901370610332,-0.00919901370610332,-0.0,-0.0,-0.0,-0.00919901370610332,0.9897114818524492,0.9897114818524492,1.0,1.0,1.0,0.9897114818524492
